ID;Problemas;Teoría;Total
2710;0;--;--
2720;0,29;0;-
2730;1,33;3,225;4,555
2740;0,85;3,1812;-
2750;NP;--;--
2760;NP;--;--
2770;1,255;1,525;2,78
2780;0,89;2,5375;-
2790;0,2;0,8187;-
2800;0,31;3,0437;-
2810;0;--;--
2820;0,215;3,375;-
2830;0;0,4;-
2840;0,945;4,5062;-
2850;0,42;2,8875;-
2860;0,75;2,375;-
2870;1,555;4,375;5,93
2880;0;0;-
2890;NP;--;--
2900;0,3;2,5062;-
2910;0;0;-
2920;0;0,0375;-
2930;0,125;0;-
2940;NP;--;--
2950;0;--;--
2960;NP;--;--
2970;0,145;1,8937;-
2980;NP;--;--
2990;0,5;0,3437;-
3000;0;1,3437;-
3010;0;--;--
3020;NP;--;--
3030;1,705;0,9812;-
3040;0,34;2,5937;-
3050;0,36;0;-
3060;0;0;-
3070;3,875;3,6312;7,5062
3080;0,81;1,05;-
3090;0,665;0,8187;-
3100;NP;--;--
3110;NP;--;--
3120;NP;--;--
3130;0,65;0,4625;-
3140;0,475;1,0562;-
3150;0;1,7562;-
3160;1,26;3,875;5,135
3170;0;0,0375;-
3180;0,205;2,1812;-
3190;0;0,075;-
3200;0,765;2,2937;-
3210;0;1,075;-
3220;0,01;0;-
3230;0;0,1937;-
3240;0,815;1,3687;-
3260;0;0,7437;-
3270;NP;--;--
3280;NP;--;--
3290;1,755;3,3062;5,0612
3300;0,58;0;-
3310;0,005;0,025;-
3320;0,06;2,1375;-
3330;0,375;1,9625;-
3340;0,125;1,3875;-
3350;0,87;3,425;-
3360;0;0;-
3370;0;0,025;-
3380;NP;--;--
3390;0;0;-
3400;0;1,1562;-
3410;1,3;1,6;2,9
3420;2,735;2,3975;5,1325
3430;0,57;1,8437;-
3440;0,845;1,825;-
3450;0;--;--
3460;0,285;0;-
3470;0,4;1,15;-
3480;2,435;0;-
3490;0,09;0,8875;-
3500;2,985;2,0375;5,0225
3510;0,185;1,7187;-
3520;0;0,2875;-
3530;0;0,2875;-
3540;0,83;1,2687;-
3550;0,075;2,1937;-
3560;0,515;0,6375;-
3570;NP;--;--
3580;0;0,45;-
3590;0,01;0,6812;-
3600;0,14;0,2312;-
3610;0;0;-
3620;0,325;0,2125;-
3630;0,02;2,3645;-
3640;0,235;2,6125;-
3650;0,79;3,25;-
3660;NP;--;--
3670;0;0,8;-
3680;0;0,125;-
3690;0;0,075;-
3700;NP;--;--
3710;0,59;2,7812;-
3720;0,245;4,6125;-
3730;0,865;2,5562;-
3740;0;0;-
3750;NP;--;--
3760;0;0;-
3770;1,97;4,1;6,07
3780;1,555;3,2625;4,8175
3790;0;0;-
3800;NP;--;--
3810;NP;--;--
3820;NP;--;--
3830;0,285;1,1;-
3840;NP;--;--
3850;2,565;2,1437;4,7087
3860;NP;--;--
3870;2,74;2,5687;5,3087
3880;NP;--;--
3890;NP;--;--
3900;2,475;3,1812;5,6562
3910;2,145;1,4625;3,6075
3920;0,445;2,0687;-
3930;0,04;0,5875;-
3940;0;--;--
3950;NP;--;--
3960;NP;--;--
3970;3,485;4,8687;8,3537
3980;NP;--;--
3990;0,49;3,0812;-
4000;NP;--;--
